Media file basename,Start time,Duration,Label,Labeled by
SM7903339130,1399,1,Mike Pesca,Stephen R. McLaughlin
SM7650887455,1127,1,Mike Pesca,Stephen R. McLaughlin
SM6109072574,1097,1,Mike Pesca,Stephen R. McLaughlin
SM5410937601,473,1,Background Speaker,Stephen R. McLaughlin
SM4458227391,510,1,Background Speaker,Stephen R. McLaughlin
SM9071706490,1593,1,Mike Pesca,Stephen R. McLaughlin
SM3866199834,67,1,Mike Pesca,Stephen R. McLaughlin
SM4760626197,353,1,Background Speaker,Stephen R. McLaughlin
SM1909900083,1202,1,Mike Pesca,Stephen R. McLaughlin
SM8930349549,676,1,Background Speaker,Stephen R. McLaughlin
SM4649212259,210,1,Background Speaker,Stephen R. McLaughlin
SM9071706490,649,1,Background Speaker,Stephen R. McLaughlin
SM3866199834,222,1,Mike Pesca,Stephen R. McLaughlin
SM1909900083,872,1,Background Speaker,Stephen R. McLaughlin
SM1994550288,924,1,Background Speaker,Stephen R. McLaughlin
SM7903339130,542,1,Multiple Speakers,Stephen R. McLaughlin
SM7903339130,542,1,Mike Pesca,Stephen R. McLaughlin
SM7903339130,542,1,Mike Pesca,Stephen R. McLaughlin
SM1965389336,114,1,Background Speaker,Stephen R. McLaughlin
SM9071706490,627,1,Background Speaker,Stephen R. McLaughlin
SM9071706490,627,1,Background Speaker,Stephen R. McLaughlin
SM6893544932,644,1,Background Speaker,Stephen R. McLaughlin
SM5759159472,1083,1,Background Speaker,Stephen R. McLaughlin
SM5791274801,1305,1,Mike Pesca,Stephen R. McLaughlin
SM9881315832,1009,1,Mike Pesca,Stephen R. McLaughlin
SM8873572544,1019,1,Background Speaker,Stephen R. McLaughlin
SM7391239158,655,1,Background Speaker,Stephen R. McLaughlin
SM1156081700,1217,1,Mike Pesca,Stephen R. McLaughlin
SM7698106578,1478,1,Background Speaker,Stephen R. McLaughlin
SM9071706490,980,1,Background Speaker,Stephen R. McLaughlin
SM7800730600,298,1,Mike Pesca,Stephen R. McLaughlin
SM4411441907,57,1,Mike Pesca,Stephen R. McLaughlin
SM8764567171,625,1,Mike Pesca,Stephen R. McLaughlin
SM5759159472,665,1,Background Speaker,Stephen R. McLaughlin
SM7014176317,1416,1,Mike Pesca,Stephen R. McLaughlin
SM8988887810,1225,1,Mike Pesca,Stephen R. McLaughlin
SM1800503917,1185,1,Mike Pesca,Stephen R. McLaughlin
SM7698106578,497,1,Background Speaker,Stephen R. McLaughlin
SM5670114083,387,1,Background Speaker,Stephen R. McLaughlin
SM4024659076,675,1,Mike Pesca,Stephen R. McLaughlin
SM9219688457,351,1,Background Speaker,Stephen R. McLaughlin
SM9071706490,42,1,Music,Stephen R. McLaughlin
SM1800503917,1465,1,Mike Pesca,Stephen R. McLaughlin
SM8873572544,2079,1,Silence,Stephen R. McLaughlin
SM7698106578,479,1,Background Speaker,Stephen R. McLaughlin
SM7800730600,92,1,Mike Pesca,Stephen R. McLaughlin
SM9881315832,1228,1,Background Speaker,Stephen R. McLaughlin
SM4760626197,775,1,Mike Pesca,Stephen R. McLaughlin
SM4458227391,1795,1,Mike Pesca,Stephen R. McLaughlin
SM8873572544,1637,1,Mike Pesca,Stephen R. McLaughlin
SM5775464549,1330,1,Mike Pesca,Stephen R. McLaughlin
SM7903339130,860,1,Mike Pesca,Stephen R. McLaughlin
SM1498556396,1671,1,Mike Pesca,Stephen R. McLaughlin
SM1410358795,1138,1,Background Speaker,Stephen R. McLaughlin
SM5670114083,468,1,Background Speaker,Stephen R. McLaughlin
SM3866199834,1349,1,Mike Pesca,Stephen R. McLaughlin
SM3866199834,1294,1,Background Speaker,Stephen R. McLaughlin
SM7903339130,561,1,Mike Pesca,Stephen R. McLaughlin
SM3866199834,299,1,Mike Pesca,Stephen R. McLaughlin
SM5775464549,329,1,Mike Pesca,Stephen R. McLaughlin
SM7076173648,1045,1,Background Speaker,Stephen R. McLaughlin
SM5670114083,305,1,Mike Pesca,Stephen R. McLaughlin
SM5759159472,678,1,Background Speaker,Stephen R. McLaughlin
SM1800503917,196,1,Mike Pesca,Stephen R. McLaughlin
SM3866199834,91,1,Mike Pesca,Stephen R. McLaughlin
SM7014176317,823,1,Mike Pesca,Stephen R. McLaughlin
SM1498556396,206,1,Mike Pesca,Stephen R. McLaughlin
SM8873572544,1505,1,Mike Pesca,Stephen R. McLaughlin
SM8930349549,676,1,Background Speaker,Stephen R. McLaughlin
SM2401647634,1464,1,Mike Pesca,Stephen R. McLaughlin
SM6893544932,253,1,Mike Pesca,Stephen R. McLaughlin
SM7903339130,734,1,Background Speaker,Stephen R. McLaughlin
SM4458227391,1676,1,Mike Pesca,Stephen R. McLaughlin
SM2282291305,647,1,Background Speaker,Stephen R. McLaughlin
SM1965389336,1075,1,Background Speaker,Stephen R. McLaughlin
SM4458227391,1578,1,Mike Pesca,Stephen R. McLaughlin
SM2401647634,1081,1,Background Speaker,Stephen R. McLaughlin
SM1410358795,445,1,Background Speaker,Stephen R. McLaughlin
SM8648212147,1631,1,Mike Pesca,Stephen R. McLaughlin
SM7807587368,1033,1,Mike Pesca,Stephen R. McLaughlin
SM5775464549,1353,1,Mike Pesca,Stephen R. McLaughlin
SM8648212147,602,1,Background Speaker,Stephen R. McLaughlin
SM7076173648,1278,1,Mike Pesca,Stephen R. McLaughlin
SM2282291305,108,1,Mike Pesca,Stephen R. McLaughlin
SM1195746019,1034,1,Mike Pesca,Stephen R. McLaughlin
SM6843719095,1269,1,Mike Pesca,Stephen R. McLaughlin
SM7650887455,550,1,Background Speaker,Stephen R. McLaughlin
SM8873572544,1081,1,Background Speaker,Stephen R. McLaughlin
SM6487149057,64,1,Music,Stephen R. McLaughlin
SM4522716159,564,1,Mike Pesca,Stephen R. McLaughlin
SM1410358795,346,1,Background Speaker,Stephen R. McLaughlin
SM2437108960,1408,1,Mike Pesca,Stephen R. McLaughlin
SM4760626197,322,1,Mike Pesca,Stephen R. McLaughlin
SM8648212147,67,1,Mike Pesca,Stephen R. McLaughlin
SM5670114083,383,1,Background Speaker,Stephen R. McLaughlin
SM9071706490,722,1,Background Speaker,Stephen R. McLaughlin
